,prompt,word_count,token_count
0,What is the capital of Afghanistan?,6,7
1,What is the capital of Albania?,6,7
2,What is the capital of Algeria?,6,7
3,What is the capital of Andorra?,6,7
4,What is the capital of Angola?,6,7
5,What is the capital of Antigua and Barbuda?,8,9
6,What is the capital of Argentina?,6,7
7,What is the capital of Armenia?,6,7
8,What is the capital of Australia?,6,7
9,What is the capital of Austria?,6,7
10,What is the capital of Azerbaijan?,6,7
11,What is the capital of Bahamas?,6,7
12,What is the capital of Bahrain?,6,7
13,What is the capital of Bangladesh?,6,7
14,What is the capital of Barbados?,6,7
15,What is the capital of Belarus?,6,7
16,What is the capital of Belgium?,6,7
17,What is the capital of Belize?,6,7
18,What is the capital of Benin?,6,7
19,What is the capital of Bhutan?,6,7
20,What is the capital of Bolivia?,6,7
21,What is the capital of Bosnia and Herzegovina?,8,9
22,What is the capital of Botswana?,6,7
23,What is the capital of Brazil?,6,7
24,What is the capital of Brunei?,6,7
25,What is the capital of Bulgaria?,6,7
26,What is the capital of Burkina Faso?,7,8
27,What is the capital of Burundi?,6,7
28,What is the capital of Cabo Verde?,7,8
29,What is the capital of Cambodia?,6,7
30,What is the capital of Cameroon?,6,7
31,What is the capital of Canada?,6,7
32,What is the capital of Central African Republic?,8,9
33,What is the capital of Chad?,6,7
34,What is the capital of Chile?,6,7
35,What is the capital of China?,6,7
36,What is the capital of Colombia?,6,7
37,What is the capital of Comoros?,6,8
38,What is the capital of Congo (Republic of the)?,9,11
39,What is the capital of Congo (Democratic Republic of the)?,10,13
40,What is the capital of Costa Rica?,7,8
41,What is the capital of Côte d'Ivoire?,8,8
42,What is the capital of Croatia?,6,7
43,What is the capital of Cuba?,6,7
44,What is the capital of Cyprus?,6,7
45,What is the capital of Czechia?,6,8
46,What is the capital of Denmark?,6,7
47,What is the capital of Djibouti?,6,7
48,What is the capital of Dominica?,6,7
49,What is the capital of Dominican Republic?,7,8
50,What is the capital of Ecuador?,6,7
51,What is the capital of Egypt?,6,7
52,What is the capital of El Salvador?,7,8
53,What is the capital of Equatorial Guinea?,7,8
54,What is the capital of Eritrea?,6,7
55,What is the capital of Estonia?,6,7
56,What is the capital of Eswatini?,6,9
57,What is the capital of Ethiopia?,6,7
58,What is the capital of Fiji?,6,7
59,What is the capital of Finland?,6,7
60,What is the capital of France?,6,7
61,What is the capital of Gabon?,6,7
62,What is the capital of Gambia?,6,7
63,What is the capital of Georgia?,6,7
64,What is the capital of Germany?,6,7
65,What is the capital of Ghana?,6,7
66,What is the capital of Greece?,6,7
67,What is the capital of Grenada?,6,7
68,What is the capital of Guatemala?,6,7
69,What is the capital of Guinea?,6,7
70,What is the capital of Guinea-Bissau?,7,7
71,What is the capital of Guyana?,6,7
72,What is the capital of Haiti?,6,7
73,What is the capital of Honduras?,6,7
74,What is the capital of Hungary?,6,7
75,What is the capital of Iceland?,6,7
76,What is the capital of India?,6,7
77,What is the capital of Indonesia?,6,7
78,What is the capital of Iran?,6,7
79,What is the capital of Iraq?,6,7
80,What is the capital of Ireland?,6,7
81,What is the capital of Israel?,6,7
82,What is the capital of Italy?,6,7
83,What is the capital of Jamaica?,6,7
84,What is the capital of Japan?,6,7
85,What is the capital of Jordan?,6,7
86,What is the capital of Kazakhstan?,6,7
87,What is the capital of Kenya?,6,7
88,What is the capital of Kiribati?,6,7
89,What is the capital of Kuwait?,6,7
90,What is the capital of Kyrgyzstan?,6,7
91,What is the capital of Laos?,6,7
92,What is the capital of Latvia?,6,7
93,What is the capital of Lebanon?,6,7
94,What is the capital of Lesotho?,6,7
95,What is the capital of Liberia?,6,7
96,What is the capital of Libya?,6,7
97,What is the capital of Liechtenstein?,6,7
98,What is the capital of Lithuania?,6,7
99,What is the capital of Luxembourg?,6,7
100,What is the capital of Madagascar?,6,7
101,What is the capital of Malawi?,6,7
102,What is the capital of Malaysia?,6,7
103,What is the capital of Maldives?,6,7
104,What is the capital of Mali?,6,7
105,What is the capital of Malta?,6,7
106,What is the capital of Marshall Islands?,7,8
107,What is the capital of Mauritania?,6,7
108,What is the capital of Mauritius?,6,7
109,What is the capital of Mexico?,6,7
110,What is the capital of Micronesia?,6,9
111,What is the capital of Moldova?,6,7
112,What is the capital of Mongolia?,6,7
113,What is the capital of Montenegro?,6,7
114,What is the capital of Morocco?,6,7
115,What is the capital of Mozambique?,6,7
