uid,dataset,group_id,prompt,num_tokens
winogrande_train_3621,winogrande,1,"Sentence: Jilly tried to put on the costume but couldn't get it around her leg because the _ was too big.
Option 1: costume
Option 2: leg
Choose the correct option and complete the sentence.",42
winogrande_train_758,winogrande,1,"Sentence: Although the sparrow wanted to fly to the maple tree, he couldn't go too far up and had to settle for the willow since the _ was higher.
Option 1: maple
Option 2: willow
Choose the correct option and complete the sentence.",55
winogrande_train_4200,winogrande,1,"Sentence: So _ ignored the ice because Katrina was hot and thirsty while Patricia just drank some water.
Option 1: Katrina
Option 2: Patricia
Choose the correct option and complete the sentence.",40
winogrande_train_6716,winogrande,1,"Sentence: I like using sea salt instead of table salt as the _ has finer crystals.
Option 1: sea salt
Option 2: table salt
Choose the correct option and complete the sentence.",39
winogrande_train_7036,winogrande,1,"Sentence: The sight of Dennis was a lot worse than William because _ had an accident when he was younger.
Option 1: Dennis
Option 2: William
Choose the correct option and complete the sentence.",40
winogrande_train_957,winogrande,1,"Sentence: Sam contemplated on taking a bath or a shower. He wanted to be in water for a long time, so he decided on the _ .
Option 1: bath
Option 2: shower
Choose the correct option and complete the sentence.",49
winogrande_train_7497,winogrande,1,"Sentence: Brian is more lively at work than Kenneth because _ gets more sleep at night.
Option 1: Brian
Option 2: Kenneth
Choose the correct option and complete the sentence.",37
winogrande_train_4617,winogrande,1,"Sentence: Ramos tried to send the file from his personal computer to his USB on Tuesday afternoon, but the _ broke down during transfer.
Option 1: computer
Option 2: USB
Choose the correct option and complete the sentence.",45
winogrande_train_1488,winogrande,1,"Sentence: She always wore the headscarf in the summer and not the hoodie, because the _ was lighter.
Option 1: headscarf
Option 2: hoodie
Choose the correct option and complete the sentence.",45
winogrande_train_8372,winogrande,1,"Sentence: Nelson wanted to make fudge, so he asked Brett to melt some chocolate in a pot; _ was too busy to do it himself.
Option 1: Nelson
Option 2: Brett
Choose the correct option and complete the sentence.",50
